epochs,lr,decay_rate,error

10, 1e-05, 1e-07, 32.09655207393104
10, 1e-05, 1e-06, 36.23918126805308
10, 1e-05, 1e-05, 32.823450003027126
10, 1e-05, 0.0001, 35.11951081293349
10, 1e-05, 0.001, 33.379283829579414
10, 1e-05, 0.01, 39.7167685918264
10, 0.0001, 1e-07, 0.2616569413179555
10, 0.0001, 1e-06, 0.2379288001951546
10, 0.0001, 1e-05, 0.25433249300181043
10, 0.0001, 0.0001, 0.2503454850009883
10, 0.0001, 0.001, 0.23601337066947325
10, 0.0001, 0.01, 0.16406571370995238
50, 1e-05, 1e-07, 0.032007962137259496
50, 1e-05, 1e-06, 0.06128905029859559
50, 1e-05, 1e-05, 0.059570979337017285
50, 1e-05, 0.0001, 0.03268942486149107
50, 1e-05, 0.001, 1.117622233002168
50, 1e-05, 0.01, 16.034435738078226
50, 0.0001, 1e-07, 0.23876888398234541
50, 0.0001, 1e-06, 0.2471763164098536
50, 0.0001, 1e-05, 0.24550914563092474
50, 0.0001, 0.0001, 0.2142400671515737
50, 0.0001, 0.001, 0.07462238785727124
50, 0.0001, 0.01, 0.016682341681871254
100, 1e-05, 1e-07, 0.023078628108691407
100, 1e-05, 1e-06, 0.021763589891230985
100, 1e-05, 1e-05, 0.02169854518513755
100, 1e-05, 0.0001, 0.014818348533466983
100, 1e-05, 0.001, 0.07563141848551672
100, 1e-05, 0.01, 14.089513775175464
100, 0.0001, 1e-07, 0.22936128780604603
100, 0.0001, 1e-06, 0.23702334855040105
100, 0.0001, 1e-05, 0.23524040606259627
100, 0.0001, 0.0001, 0.13870057231197136
100, 0.0001, 0.001, 0.007626468107893279
100, 0.0001, 0.01, 0.0162884107724324
500, 1e-05, 1e-07, 0.02235425701402635
500, 1e-05, 1e-06, 0.020033524952250914
500, 1e-05, 1e-05, 0.006701128072927892
500, 1e-05, 0.0001, 0.0017530580547255848
500, 1e-05, 0.001, 0.080945250870229
500, 1e-05, 0.01, 14.244477203860514
500, 0.0001, 1e-07, 0.2420219135788825
500, 0.0001, 1e-06, 0.21459265821472262
500, 0.0001, 1e-05, 0.06984115163023707
500, 0.0001, 0.0001, 0.0022758720799805057
500, 0.0001, 0.001, 0.005995027686403637
500, 0.0001, 0.01, 0.016348268370747376
1000, 1e-05, 1e-07, 0.021806301954943562
1000, 1e-05, 1e-06, 0.014289176646208782
1000, 1e-05, 1e-05, 0.0007650110987792861
1000, 1e-05, 0.0001, 0.0017198580663367155
1000, 1e-05, 0.001, 0.14147391247362995
1000, 1e-05, 0.01, 21.456570193627464
1000, 0.0001, 1e-07, 0.2377700022226179
1000, 0.0001, 1e-06, 0.1454726864584056
1000, 0.0001, 1e-05, 0.0021763480493190105
1000, 0.0001, 0.0001, 0.002365125645315531
1000, 0.0001, 0.001, 0.006185687521407185
1000, 0.0001, 0.01, 0.016452100988279674
2500, 1e-05, 1e-07, 0.01665521970346305
2500, 1e-05, 1e-06, 0.0011110222916326361
2500, 1e-05, 1e-05, 0.0006343107265698875
2500, 1e-05, 0.0001, 0.0015602369401213302
2500, 1e-05, 0.001, 0.03710869560563075
2500, 1e-05, 0.01, 21.379506161423706
2500, 0.0001, 1e-07, 0.1788788313258579
2500, 0.0001, 1e-06, 0.010142618384617455
2500, 0.0001, 1e-05, 0.0008330696623997883
2500, 0.0001, 0.0001, 0.002249147129806198
2500, 0.0001, 0.001, 0.006100820071597162
2500, 0.0001, 0.01, 0.016909089188933413
5000, 1e-05, 1e-07, 0.006590469144900668
5000, 1e-05, 1e-06, 0.00022323290679666225
5000, 1e-05, 1e-05, 0.0006268813371735696
5000, 1e-05, 0.0001, 0.001934234777773349
5000, 1e-05, 0.001, 0.06829967094933882
5000, 1e-05, 0.01, 17.32618419533197
5000, 0.0001, 1e-07, 0.06456859034940254
5000, 0.0001, 1e-06, 0.00027799853985695515
5000, 0.0001, 1e-05, 0.0008431609774001963
5000, 0.0001, 0.0001, 0.0023480332929305646
5000, 0.0001, 0.001, 0.006389447867786613
5000, 0.0001, 0.01, 0.016417310673157777
