epochs,lr,decay_rate,error
10,1e-05,1e-07,16.57889497785398
10,1e-05,1e-06,15.001900039680635
10,1e-05,1e-05,16.358553438738515
10,1e-05,0.0001,17.14816570737719
10,1e-05,0.001,12.745050418001256
10,1e-05,0.01,24.177665154226908
10,0.0001,1e-07,1.1756517814172698
10,0.0001,1e-06,1.1864740565414764
10,0.0001,1e-05,1.2388300004605728
10,0.0001,0.0001,1.0790909603430774
10,0.0001,0.001,1.1126626235711612
10,0.0001,0.01,0.9054037034474836
50,1e-05,1e-07,0.7463585340979252
50,1e-05,1e-06,0.9494292809779639
50,1e-05,1e-05,1.022338710607898
50,1e-05,0.0001,0.7925430905709518
50,1e-05,0.001,1.5145185397224243
50,1e-05,0.01,6.429117821589951
50,0.0001,1e-07,0.9784298629449546
50,0.0001,1e-06,0.9695686549398771
50,0.0001,1e-05,0.9637200175982161
50,0.0001,0.0001,0.8528086044103813
50,0.0001,0.001,0.317783012859824
50,0.0001,0.01,0.1695118540378269
100,1e-05,1e-07,0.2691404682588643
100,1e-05,1e-06,0.20745847926554373
100,1e-05,1e-05,0.20939575984383077
100,1e-05,0.0001,0.26425844458338527
100,1e-05,0.001,1.5197142791730602
100,1e-05,0.01,9.226009963951856
100,0.0001,1e-07,0.9747891925399582
100,0.0001,1e-06,0.9699097678955942
100,0.0001,1e-05,0.9251097323331474
100,0.0001,0.0001,0.5954904688241974
100,0.0001,0.001,0.034744881522841345
100,0.0001,0.01,0.1240023984057905
500,1e-05,1e-07,0.09990449460227478
500,1e-05,1e-06,0.08979048572621859
500,1e-05,1e-05,0.05686085244728435
500,1e-05,0.0001,0.10003884794494494
500,1e-05,0.001,0.9526675584464362
500,1e-05,0.01,5.744870369151613
500,0.0001,1e-07,0.9618360357791924
500,0.0001,1e-06,0.8524125365225936
500,0.0001,1e-05,0.287484440482974
500,0.0001,0.0001,0.010468977020776253
500,0.0001,0.001,0.031401849480539513
500,0.0001,0.01,0.16773566243629162
1000,1e-05,1e-07,0.09586548145235516
1000,1e-05,1e-06,0.06151046614348636
1000,1e-05,1e-05,0.01204458872127124
1000,1e-05,0.0001,0.12662344531655062
1000,1e-05,0.001,1.2468483954785186
1000,1e-05,0.01,7.31439833971049
1000,0.0001,1e-07,0.9237094424105093
1000,0.0001,1e-06,0.5869721735641571
1000,0.0001,1e-05,0.009478515976495887
1000,0.0001,0.0001,0.010467082429293513
1000,0.0001,0.001,0.028468464519129988
1000,0.0001,0.01,0.18841881053145842
2500,1e-05,1e-07,0.07387291212015407
2500,1e-05,1e-06,0.005027863608726214
2500,1e-05,1e-05,0.004773661205192321
2500,1e-05,0.0001,0.12798099788673317
2500,1e-05,0.001,1.216985855617896
2500,1e-05,0.01,5.299464385862135
2500,0.0001,1e-07,0.7017389955736468
2500,0.0001,1e-06,0.04514851821051065
2500,0.0001,1e-05,0.0037867449026862867
2500,0.0001,0.0001,0.01046706172868008
2500,0.0001,0.001,0.02859374718302315
2500,0.0001,0.01,0.18156384997767444
5000,1e-05,1e-07,0.0291029320470892
5000,1e-05,1e-06,0.0010652618112967876
5000,1e-05,1e-05,0.00488619888313538
5000,1e-05,0.0001,0.08892975325195712
5000,1e-05,0.001,1.025309851147901
5000,1e-05,0.01,4.800579330273285
5000,0.0001,1e-07,0.2846684980997779
5000,0.0001,1e-06,0.0013313622987642434
5000,0.0001,1e-05,0.003786744904451189
5000,0.0001,0.0001,0.010467053775440351
